Fecha Alta,Referencia,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
2004-01-01,2,Local,Venta,Girona,199,1945424,2004-04-19,Pedro
2004-01-02,5,Suelo,Venta,Tarragona,152,1138024,2004-07-10,María
2004-01-03,8,Oficina,Venta,Girona,235,2158475,2004-10-31,Jesús
2004-01-04,10,Parking,Venta,Lleida,299,2042768,2004-10-06,Joaquín
2004-01-04,12,Industrial,Venta,Girona,187,999328,2004-04-05,Carmen
2004-01-04,13,Parking,Venta,Barcelona,300,2937300,2004-11-04,Jesús
2004-01-04,14,Local,Venta,Tarragona,68,664700,2004-10-01,Carmen
2004-01-06,18,Suelo,Venta,Barcelona,283,1679605,2004-06-06,Carmen
2004-01-09,21,Industrial,Venta,Barcelona,228,2020992,2004-06-12,Carmen
2004-01-15,34,Casa,Venta,Barcelona,281,2483197,2004-11-01,María
2004-01-16,37,Local,Venta,Girona,229,1160572,2004-07-09,Pedro
2004-01-18,40,Oficina,Venta,Girona,182,1057784,2004-07-22,Jesús
2004-01-18,41,Piso,Venta,Barcelona,230,1421860,2004-09-23,Jesús
2004-01-19,42,Oficina,Venta,Tarragona,168,1426992,2004-11-20,Jesús
2004-01-19,44,Casa,Venta,Girona,278,1537062,2004-12-16,María
2004-01-20,48,Industrial,Venta,Barcelona,284,1457488,2004-07-06,Jesús
2004-01-20,49,Local,Venta,Girona,40,321680,2005-01-11,Jesús
2004-01-20,51,Industrial,Venta,Lleida,90,568620,2004-12-14,Joaquín
2004-01-22,55,Local,Venta,Girona,127,983234,2004-07-09,Carmen
2004-01-23,56,Piso,Venta,Lleida,54,239220,2004-05-01,María
2004-01-24,59,Industrial,Venta,Tarragona,166,1373816,2004-11-19,Joaquín
2004-01-24,61,Casa,Venta,Tarragona,120,1140840,2004-09-12,Carmen
2004-01-24,62,Industrial,Venta,Tarragona,178,1142938,2005-01-23,Joaquín
2004-01-25,63,Piso,Venta,Barcelona,144,738144,2004-09-06,Luisa
2004-01-26,64,Industrial,Venta,Lleida,57,509010,2004-10-13,María
2004-01-26,65,Oficina,Venta,Tarragona,144,1436832,2004-05-26,Luisa
2004-01-27,66,Suelo,Venta,Lleida,272,2119424,2004-12-24,Pedro
2004-01-27,69,Local,Venta,Girona,248,2212408,2004-10-09,María
2004-01-28,71,Casa,Venta,Girona,235,1939925,2004-11-01,Carmen
2004-01-28,72,Suelo,Venta,Tarragona,216,1478952,2004-10-15,Carmen
2004-01-29,74,Industrial,Venta,Girona,229,1098055,2004-10-22,Joaquín
2004-01-29,75,Suelo,Venta,Tarragona,41,187862,2004-08-14,Jesús
2004-01-31,78,Piso,Venta,Lleida,87,448485,2004-10-04,María
2004-01-31,79,Parking,Venta,Barcelona,298,2520484,2004-11-27,Carmen
2004-02-02,82,Parking,Venta,Girona,117,1069731,2004-09-14,Pedro
2004-02-02,83,Suelo,Venta,Lleida,56,471072,2004-05-29,María
2004-02-02,84,Piso,Venta,Barcelona,94,470940,2004-07-28,Carmen
2004-02-03,86,Piso,Venta,Girona,275,2141700,2005-01-08,Jesús
2004-02-04,90,Suelo,Venta,Girona,292,2685816,2004-07-24,Pedro
2004-02-06,95,Local,Venta,Barcelona,68,663816,2004-05-23,Joaquín
2004-02-07,97,Suelo,Venta,Tarragona,96,625536,2004-11-07,Jesús
2004-02-07,98,Casa,Venta,Lleida,227,1467782,2005-02-01,Carmen
2004-02-08,102,Local,Venta,Barcelona,45,438435,2004-05-23,Luisa
2004-02-09,104,Oficina,Venta,Tarragona,104,699400,2004-07-14,Luisa
2004-02-12,110,Parking,Venta,Barcelona,206,1587642,2004-12-20,Luisa
2004-02-14,114,Suelo,Venta,Girona,103,806799,2005-01-11,Joaquín
2004-02-14,115,Industrial,Venta,Tarragona,54,438750,2004-08-15,Carmen
2004-02-15,116,Parking,Venta,Girona,103,973659,2005-01-04,Jesús
2004-02-15,117,Oficina,Venta,Girona,274,1724008,2004-09-26,Joaquín
2004-02-15,118,Oficina,Venta,Girona,253,2047276,2004-09-10,Luisa
2004-02-16,119,Parking,Venta,Lleida,51,307989,2004-07-06,Pedro
2004-02-16,120,Piso,Venta,Tarragona,174,973878,2004-12-13,Jesús
2004-02-17,121,Parking,Venta,Barcelona,152,688864,2004-12-06,Jesús
2004-02-19,125,Industrial,Venta,Girona,118,1067192,2004-08-25,Carmen
2004-02-19,126,Industrial,Venta,Tarragona,194,1373132,2004-08-31,María
2004-02-20,127,Industrial,Venta,Barcelona,139,1087119,2004-05-29,Jesús
2004-02-20,128,Casa,Venta,Tarragona,130,1230190,2005-01-04,Luisa
2004-02-21,130,Oficina,Venta,Tarragona,216,1389096,2004-11-23,Luisa
2004-02-21,131,Local,Venta,Lleida,55,477345,2004-09-04,Carmen
2004-02-21,132,Oficina,Venta,Tarragona,190,1268630,2004-12-04,Jesús
2004-02-22,135,Local,Venta,Lleida,45,229455,2004-10-05,Jesús
2004-02-23,137,Casa,Venta,Barcelona,119,686154,2005-01-19,Pedro
2004-02-24,138,Industrial,Venta,Girona,88,678480,2004-12-28,Luisa
2004-02-26,140,Piso,Venta,Barcelona,222,1076034,2004-06-02,María
2004-02-27,141,Suelo,Venta,Barcelona,47,455477,2004-12-31,Joaquín
2004-02-27,142,Oficina,Venta,Tarragona,123,1128156,2004-09-23,Pedro
2004-02-28,145,Piso,Venta,Girona,50,315550,2004-10-14,Pedro
2004-02-28,146,Parking,Venta,Girona,274,2028970,2004-08-20,Luisa
2004-02-28,148,Local,Venta,Barcelona,109,779241,2004-05-30,María
2004-02-29,149,Piso,Venta,Lleida,249,1492506,2005-02-12,Luisa
2004-03-02,152,Oficina,Venta,Tarragona,172,1063648,2005-02-13,María
2004-03-02,153,Piso,Venta,Lleida,68,434656,2004-07-13,María
2004-03-03,156,Casa,Venta,Girona,284,1561432,2004-07-01,Pedro
2004-03-03,157,Oficina,Venta,Tarragona,202,1891932,2004-10-02,María
2004-03-04,159,Local,Venta,Lleida,106,563178,2004-08-01,Pedro
2004-03-04,160,Casa,Venta,Tarragona,211,875228,2004-07-23,María
2004-03-04,161,Suelo,Venta,Tarragona,165,1305480,2004-07-29,Jesús
2004-03-05,163,Local,Venta,Tarragona,266,1161090,2004-11-23,Carmen
