Fecha Alta,Operación,Provincia,Superficie,Precio Venta
2004-01-01,Alquiler,Lleida,291,2133903
2004-01-01,Venta,Girona,199,1945424
2004-01-01,Alquiler,Girona,82,712416
2004-01-02,Alquiler,Girona,285,1815450
2004-01-02,Venta,Tarragona,152,1138024
2004-01-03,Alquiler,Girona,131,953156
2004-01-03,Alquiler,Tarragona,69,406686
2004-01-03,Venta,Girona,235,2158475
2004-01-04,Alquiler,Lleida,108,1024380
2004-01-04,Venta,Lleida,299,2042768
2004-01-04,Alquiler,Girona,124,627068
2004-01-04,Venta,Girona,187,999328
2004-01-04,Venta,Barcelona,300,2937300
2004-01-04,Venta,Tarragona,68,664700
2004-01-04,Alquiler,Girona,176,820336
2004-01-05,Alquiler,Girona,179,937960
2004-01-05,Alquiler,Tarragona,58,358846
2004-01-06,Venta,Barcelona,283,1679605
2004-01-07,Alquiler,Girona,55,472615
2004-01-08,Alquiler,Barcelona,148,1169496
2004-01-09,Venta,Barcelona,228,2020992
2004-01-09,Alquiler,Lleida,116,727552
2004-01-10,Alquiler,Girona,183,1438929
2004-01-10,Alquiler,Tarragona,79,427390
2004-01-10,Alquiler,Barcelona,124,1170684
2004-01-10,Alquiler,Tarragona,70,549780
2004-01-11,Alquiler,Tarragona,70,659330
2004-01-12,Alquiler,Barcelona,187,1660560
2004-01-12,Alquiler,Tarragona,91,753571
2004-01-12,Alquiler,Tarragona,201,939072
2004-01-13,Alquiler,Barcelona,142,1405374
2004-01-13,Alquiler,Girona,92,627348
2004-01-15,Alquiler,Barcelona,181,1504110
2004-01-15,Venta,Barcelona,281,2483197
2004-01-15,Alquiler,Tarragona,257,1799771
2004-01-16,Alquiler,Tarragona,140,1054340
2004-01-16,Venta,Girona,229,1160572
2004-01-17,Alquiler,Tarragona,300,1492800
2004-01-18,Alquiler,Tarragona,215,1154980
2004-01-18,Venta,Girona,182,1057784
2004-01-18,Venta,Barcelona,230,1421860
2004-01-19,Venta,Tarragona,168,1426992
2004-01-19,Alquiler,Girona,74,579716
2004-01-19,Venta,Girona,278,1537062
2004-01-20,Alquiler,Barcelona,287,2851058
2004-01-20,Alquiler,Lleida,224,1294048
2004-01-20,Alquiler,Barcelona,53,249418
2004-01-20,Venta,Barcelona,284,1457488
2004-01-20,Venta,Girona,40,321680
2004-01-20,Alquiler,Tarragona,235,957625
2004-01-20,Venta,Lleida,90,568620
2004-01-22,Alquiler,Lleida,206,1605564
2004-01-22,Alquiler,Tarragona,158,1438748
2004-01-22,Alquiler,Barcelona,71,686996
2004-01-22,Venta,Girona,127,983234
2004-01-23,Venta,Lleida,54,239220
2004-01-23,Alquiler,Lleida,54,512730
2004-01-24,Alquiler,Girona,274,2287626
2004-01-24,Venta,Tarragona,166,1373816
2004-01-24,Alquiler,Lleida,270,1920240
2004-01-24,Venta,Tarragona,120,1140840
2004-01-24,Venta,Tarragona,178,1142938
2004-01-25,Venta,Barcelona,144,738144
2004-01-26,Venta,Lleida,57,509010
2004-01-26,Venta,Tarragona,144,1436832
2004-01-27,Venta,Lleida,272,2119424
2004-01-27,Alquiler,Barcelona,219,948927
2004-01-27,Alquiler,Barcelona,68,376992
2004-01-27,Venta,Girona,248,2212408
2004-01-28,Alquiler,Tarragona,179,1647695
2004-01-28,Venta,Girona,235,1939925
2004-01-28,Venta,Tarragona,216,1478952
2004-01-28,Alquiler,Barcelona,62,320044
2004-01-29,Venta,Girona,229,1098055
2004-01-29,Venta,Tarragona,41,187862
2004-01-29,Alquiler,Tarragona,234,1757106
2004-01-30,Alquiler,Tarragona,112,1104992
2004-01-31,Venta,Lleida,87,448485
2004-01-31,Venta,Barcelona,298,2520484
2004-01-31,Alquiler,Barcelona,217,1339107
2004-02-01,Alquiler,Barcelona,236,1812244
2004-02-02,Venta,Girona,117,1069731
2004-02-02,Venta,Lleida,56,471072
2004-02-02,Venta,Barcelona,94,470940
2004-02-02,Alquiler,Barcelona,127,925322
2004-02-03,Venta,Girona,275,2141700
2004-02-03,Alquiler,Barcelona,93,778875
2004-02-03,Alquiler,Tarragona,58,421196
2004-02-04,Alquiler,Barcelona,49,219716
2004-02-04,Venta,Girona,292,2685816
2004-02-04,Alquiler,Barcelona,123,723609
2004-02-05,Alquiler,Barcelona,48,388032
2004-02-05,Alquiler,Tarragona,132,922020
2004-02-06,Alquiler,Barcelona,177,965358
2004-02-06,Venta,Barcelona,68,663816
2004-02-07,Alquiler,Tarragona,103,728931
2004-02-07,Venta,Tarragona,96,625536
2004-02-07,Venta,Lleida,227,1467782
2004-02-07,Alquiler,Girona,251,2067236
2004-02-08,Alquiler,Tarragona,125,531375
2004-02-08,Alquiler,Girona,162,710694
2004-02-08,Venta,Barcelona,45,438435
2004-02-08,Alquiler,Girona,258,1188090
2004-02-09,Venta,Tarragona,104,699400
2004-02-10,Alquiler,Girona,238,1854496
2004-02-10,Alquiler,Lleida,300,2105700
2004-02-10,Alquiler,Girona,222,1791318
2004-02-12,Alquiler,Tarragona,187,1782297
2004-02-12,Alquiler,Barcelona,300,1528200
2004-02-12,Venta,Barcelona,206,1587642
2004-02-13,Alquiler,Tarragona,162,954666
2004-02-13,Alquiler,Lleida,160,1064800
2004-02-13,Alquiler,Barcelona,89,887241
2004-02-14,Venta,Girona,103,806799
2004-02-14,Venta,Tarragona,54,438750
2004-02-15,Venta,Girona,103,973659
2004-02-15,Venta,Girona,274,1724008
2004-02-15,Venta,Girona,253,2047276
2004-02-16,Venta,Lleida,51,307989
2004-02-16,Venta,Tarragona,174,973878
2004-02-17,Venta,Barcelona,152,688864
2004-02-17,Alquiler,Barcelona,270,1385910
2004-02-17,Alquiler,Girona,179,1461356
2004-02-18,Alquiler,Tarragona,212,926228
2004-02-19,Venta,Girona,118,1067192
2004-02-19,Venta,Tarragona,194,1373132
2004-02-20,Venta,Barcelona,139,1087119
2004-02-20,Venta,Tarragona,130,1230190
2004-02-21,Alquiler,Lleida,206,1363926
2004-02-21,Venta,Tarragona,216,1389096
2004-02-21,Venta,Lleida,55,477345
2004-02-21,Venta,Tarragona,190,1268630
2004-02-22,Alquiler,Tarragona,62,391964
2004-02-22,Alquiler,Tarragona,275,1765225
2004-02-22,Venta,Lleida,45,229455
2004-02-23,Alquiler,Lleida,105,624435
2004-02-23,Venta,Barcelona,119,686154
2004-02-24,Venta,Girona,88,678480
2004-02-26,Alquiler,Tarragona,63,533925
2004-02-26,Venta,Barcelona,222,1076034
2004-02-27,Venta,Barcelona,47,455477
