Tipo,Referencia,Fecha Alta,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
Suelo,5,2004-01-02,Venta,Tarragona,152,1138024,2004-07-10,María
Parking,10,2004-01-04,Venta,Lleida,299,2042768,2004-10-06,Joaquín
Parking,13,2004-01-04,Venta,Barcelona,300,2937300,2004-11-04,Jesús
Local,14,2004-01-04,Venta,Tarragona,68,664700,2004-10-01,Carmen
Suelo,18,2004-01-06,Venta,Barcelona,283,1679605,2004-06-06,Carmen
Industrial,21,2004-01-09,Venta,Barcelona,228,2020992,2004-06-12,Carmen
Casa,34,2004-01-15,Venta,Barcelona,281,2483197,2004-11-01,María
Piso,41,2004-01-18,Venta,Barcelona,230,1421860,2004-09-23,Jesús
Oficina,42,2004-01-19,Venta,Tarragona,168,1426992,2004-11-20,Jesús
Industrial,48,2004-01-20,Venta,Barcelona,284,1457488,2004-07-06,Jesús
Industrial,51,2004-01-20,Venta,Lleida,90,568620,2004-12-14,Joaquín
Piso,56,2004-01-23,Venta,Lleida,54,239220,2004-05-01,María
Industrial,59,2004-01-24,Venta,Tarragona,166,1373816,2004-11-19,Joaquín
Casa,61,2004-01-24,Venta,Tarragona,120,1140840,2004-09-12,Carmen
Industrial,62,2004-01-24,Venta,Tarragona,178,1142938,2005-01-23,Joaquín
Piso,63,2004-01-25,Venta,Barcelona,144,738144,2004-09-06,Luisa
Industrial,64,2004-01-26,Venta,Lleida,57,509010,2004-10-13,María
Oficina,65,2004-01-26,Venta,Tarragona,144,1436832,2004-05-26,Luisa
Suelo,66,2004-01-27,Venta,Lleida,272,2119424,2004-12-24,Pedro
Suelo,72,2004-01-28,Venta,Tarragona,216,1478952,2004-10-15,Carmen
Suelo,75,2004-01-29,Venta,Tarragona,41,187862,2004-08-14,Jesús
Piso,78,2004-01-31,Venta,Lleida,87,448485,2004-10-04,María
Parking,79,2004-01-31,Venta,Barcelona,298,2520484,2004-11-27,Carmen
Suelo,83,2004-02-02,Venta,Lleida,56,471072,2004-05-29,María
Piso,84,2004-02-02,Venta,Barcelona,94,470940,2004-07-28,Carmen
Local,95,2004-02-06,Venta,Barcelona,68,663816,2004-05-23,Joaquín
Suelo,97,2004-02-07,Venta,Tarragona,96,625536,2004-11-07,Jesús
Casa,98,2004-02-07,Venta,Lleida,227,1467782,2005-02-01,Carmen
Local,102,2004-02-08,Venta,Barcelona,45,438435,2004-05-23,Luisa
Oficina,104,2004-02-09,Venta,Tarragona,104,699400,2004-07-14,Luisa
Parking,110,2004-02-12,Venta,Barcelona,206,1587642,2004-12-20,Luisa
Industrial,115,2004-02-14,Venta,Tarragona,54,438750,2004-08-15,Carmen
Parking,119,2004-02-16,Venta,Lleida,51,307989,2004-07-06,Pedro
Piso,120,2004-02-16,Venta,Tarragona,174,973878,2004-12-13,Jesús
Parking,121,2004-02-17,Venta,Barcelona,152,688864,2004-12-06,Jesús
Industrial,126,2004-02-19,Venta,Tarragona,194,1373132,2004-08-31,María
Industrial,127,2004-02-20,Venta,Barcelona,139,1087119,2004-05-29,Jesús
Casa,128,2004-02-20,Venta,Tarragona,130,1230190,2005-01-04,Luisa
Oficina,130,2004-02-21,Venta,Tarragona,216,1389096,2004-11-23,Luisa
Local,131,2004-02-21,Venta,Lleida,55,477345,2004-09-04,Carmen
Oficina,132,2004-02-21,Venta,Tarragona,190,1268630,2004-12-04,Jesús
Local,135,2004-02-22,Venta,Lleida,45,229455,2004-10-05,Jesús
Casa,137,2004-02-23,Venta,Barcelona,119,686154,2005-01-19,Pedro
Piso,140,2004-02-26,Venta,Barcelona,222,1076034,2004-06-02,María
Suelo,141,2004-02-27,Venta,Barcelona,47,455477,2004-12-31,Joaquín
Oficina,142,2004-02-27,Venta,Tarragona,123,1128156,2004-09-23,Pedro
Local,148,2004-02-28,Venta,Barcelona,109,779241,2004-05-30,María
